Study Cases\RMS mine\All calculations.ElmRes;Grid\G 01.ElmSym;Grid\G 01.ElmSym;Grid\G 01.ElmSym;Grid\G 01.ElmSym;Grid\G 02.ElmSym;Grid\G 02.ElmSym;Grid\G 02.ElmSym;Grid\G 02.ElmSym;Grid\G 03.ElmSym;Grid\G 03.ElmSym;Grid\G 03.ElmSym;Grid\G 03.ElmSym;Grid\G 04.ElmSym;Grid\G 04.ElmSym;Grid\G 04.ElmSym;Grid\G 04.ElmSym;Grid\G 05.ElmSym;Grid\G 05.ElmSym;Grid\G 05.ElmSym;Grid\G 05.ElmSym;Grid\G 06.ElmSym;Grid\G 06.ElmSym;Grid\G 06.ElmSym;Grid\G 06.ElmSym;Grid\G 07.ElmSym;Grid\G 07.ElmSym;Grid\G 07.ElmSym;Grid\G 07.ElmSym;Grid\G 08.ElmSym;Grid\G 08.ElmSym;Grid\G 08.ElmSym;Grid\G 08.ElmSym;Grid\G 09.ElmSym;Grid\G 09.ElmSym;Grid\G 09.ElmSym;Grid\G 09.ElmSym;Grid\G 10.ElmSym;Grid\G 10.ElmSym;Grid\G 10.ElmSym;Grid\G 10.ElmSym
"b:tnow in s";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW";"s:ut in p.u.";"s:cur1 in p.u.";"s:Q1 in Mvar";"s:P1 in MW"
0,000000;1,030000;0,097465;88,281415;1000,000000;0,982000;0,810690;198,251784;520,811072;0,983100;0,866652;205,144371;650,000000;0,997200;0,804108;109,905981;632,000000;1,012300;0,879780;165,763649;508,000000;1,049300;0,814622;212,411827;650,000000;1,063500;0,764412;101,175010;560,000000;1,027800;0,750563;0,439926;540,000000;1,026500;0,808879;22,841625;830,000000;1,047500;0,276458;146,158178;250,000000
0,010000;1,030000;0,097465;88,281415;1000,000000;0,982000;0,810690;198,251784;520,811072;0,983100;0,866652;205,144371;650,000000;0,997200;0,804108;109,905981;632,000000;1,012300;0,879780;165,763649;508,000000;1,049300;0,814622;212,411827;650,000000;1,063500;0,764412;101,175010;560,000000;1,027800;0,750563;0,439926;540,000000;1,026500;0,808879;22,841625;830,000000;1,047500;0,276458;146,158178;250,000000
0,020000;1,030000;0,097465;88,281415;1000,000000;0,982000;0,810690;198,251784;520,811072;0,983100;0,866652;205,144371;650,000000;0,997200;0,804108;109,905981;632,000000;1,012300;0,879780;165,763649;508,000000;1,049300;0,814622;212,411827;650,000000;1,063500;0,764412;101,175010;560,000000;1,027800;0,750563;0,439926;540,000000;1,026500;0,808879;22,841625;830,000000;1,047500;0,276458;146,158178;250,000000
0,030000;1,030000;0,097465;88,281415;1000,000000;0,982000;0,810690;198,251784;520,811072;0,983100;0,866652;205,144371;650,000000;0,997200;0,804108;109,905981;632,000000;1,012300;0,879780;165,763649;508,000000;1,049300;0,814622;212,411827;650,000000;1,063500;0,764412;101,175010;560,000000;1,027800;0,750563;0,439926;540,000000;1,026500;0,808879;22,841625;830,000000;1,047500;0,276458;146,158178;250,000000
0,040000;1,030000;0,097465;88,281415;1000,000000;0,982000;0,810690;198,251784;520,811072;0,983100;0,866652;205,144371;650,000000;0,997200;0,804108;109,905981;632,000000;1,012300;0,879780;165,763649;508,000000;1,049300;0,814622;212,411827;650,000000;1,063500;0,764412;101,175010;560,000000;1,027800;0,750563;0,439926;540,000000;1,026500;0,808879;22,841625;830,000000;1,047500;0,276458;146,158178;250,000000
0,050000;1,030000;0,097465;88,281415;1000,000000;0,982000;0,810690;198,251784;520,811072;0,983100;0,866652;205,144371;650,000000;0,997200;0,804108;109,905981;632,000000;1,012300;0,879780;165,763649;508,000000;1,049300;0,814622;212,411827;650,000000;1,063500;0,764412;101,175010;560,000000;1,027800;0,750563;0,439926;540,000000;1,026500;0,808879;22,841625;830,000000;1,047500;0,276458;146,158178;250,000000
0,060000;1,030000;0,097465;88,281415;1000,000000;0,982000;0,810690;198,251784;520,811072;0,983100;0,866652;205,144371;650,000000;0,997200;0,804108;109,905981;632,000000;1,012300;0,879780;165,763649;508,000000;1,049300;0,814622;212,411827;650,000000;1,063500;0,764412;101,175010;560,000000;1,027800;0,750563;0,439926;540,000000;1,026500;0,808879;22,841625;830,000000;1,047500;0,276458;146,158178;250,000000
0,070000;1,030000;0,097465;88,281415;1000,000000;0,982000;0,810690;198,251784;520,811072;0,983100;0,866652;205,144371;650,000000;0,997200;0,804108;109,905981;632,000000;1,012300;0,879780;165,763649;508,000000;1,049300;0,814622;212,411827;650,000000;1,063500;0,764412;101,175010;560,000000;1,027800;0,750563;0,439926;540,000000;1,026500;0,808879;22,841625;830,000000;1,047500;0,276458;146,158178;250,000000
0,080000;1,030000;0,097465;88,281415;1000,000000;0,982000;0,810690;198,251784;520,811072;0,983100;0,866652;205,144371;650,000000;0,997200;0,804108;109,905981;632,000000;1,012300;0,879780;165,763649;508,000000;1,049300;0,814622;212,411827;650,000000;1,063500;0,764412;101,175010;560,000000;1,027800;0,750563;0,439926;540,000000;1,026500;0,808879;22,841625;830,000000;1,047500;0,276458;146,158178;250,000000
